addr_state;last_credit_pull_d;loan_status
CA;01-02-2009;"Fully Paid"
MA;01-02-2010;"Fully Paid"
NJ;01-02-2010;"Charged Off"
VA;01-02-2010;"Charged Off"
FL;01-02-2010;"Charged Off"
CO;01-02-2010;"Charged Off"
LA;01-02-2010;"Fully Paid"
PA;01-02-2010;"Charged Off"
NJ;01-02-2010;"Fully Paid"
CA;01-02-2010;"Fully Paid"
AL;01-02-2010;"Fully Paid"
TN;01-02-2010;"Fully Paid"
MO;01-02-2010;"Fully Paid"
NE;01-02-2010;"Charged Off"
NY;01-02-2010;"Fully Paid"
GA;01-02-2010;"Fully Paid"
TX;01-02-2010;"Charged Off"
OK;01-02-2010;"Fully Paid"
GA;01-02-2011;"Fully Paid"
CA;01-02-2011;"Fully Paid"
NY;01-02-2011;"Fully Paid"
CO;01-02-2011;"Fully Paid"
WA;01-02-2011;"Fully Paid"
MD;01-02-2011;"Fully Paid"
NV;01-02-2011;"Fully Paid"
TX;01-02-2011;"Fully Paid"
NJ;01-02-2011;"Fully Paid"
MT;01-02-2011;"Fully Paid"
NM;01-02-2011;"Fully Paid"
FL;01-02-2011;"Fully Paid"
MI;01-02-2011;"Fully Paid"
MA;01-02-2011;"Fully Paid"
VA;01-02-2011;"Fully Paid"
AR;01-02-2011;"Fully Paid"
NC;01-02-2011;"Fully Paid"
FL;01-02-2011;"Charged Off"
IA;01-02-2011;"Fully Paid"
OH;01-02-2011;"Fully Paid"
DC;01-02-2011;"Fully Paid"
IL;01-02-2011;"Fully Paid"
SC;01-02-2011;"Fully Paid"
CT;01-02-2011;"Fully Paid"
OK;01-02-2012;"Fully Paid"
DC;01-02-2012;"Fully Paid"
LA;01-02-2012;"Fully Paid"
CA;01-02-2012;"Fully Paid"
NJ;01-02-2013;"Fully Paid"
CT;01-02-2013;"Fully Paid"
WA;01-02-2013;"Fully Paid"
NC;01-02-2013;"Fully Paid"
NY;01-02-2013;"Fully Paid"
CA;01-02-2013;"Fully Paid"
VA;01-02-2013;"Fully Paid"
GA;01-02-2013;"Fully Paid"
MD;01-02-2014;"Fully Paid"
TX;01-02-2014;"Fully Paid"
CT;01-02-2014;"Fully Paid"
NY;01-02-2014;"Fully Paid"
TN;01-02-2014;"Fully Paid"
NJ;01-02-2014;"Fully Paid"
MN;01-02-2014;"Fully Paid"
CA;01-02-2014;"Fully Paid"
NV;01-02-2014;"Fully Paid"
VA;01-02-2014;"Fully Paid"
MI;01-02-2014;"Fully Paid"
NY;01-02-2015;"Fully Paid"
FL;01-02-2015;"Fully Paid"
TX;01-02-2015;"Fully Paid"
CO;01-02-2015;"Fully Paid"
AZ;01-02-2015;"Fully Paid"
NY;01-02-2016;"Charged Off"
TX;01-02-2016;"Fully Paid"
SC;01-02-2016;"Fully Paid"
MN;01-02-2016;"Fully Paid"
FL;01-02-2016;"Charged Off"
WA;01-02-2016;"Fully Paid"
MO;01-02-2016;"Fully Paid"
CA;01-02-2016;"Fully Paid"
NY;01-02-2016;"Fully Paid"
VA;01-02-2016;"Fully Paid"
IL;01-02-2016;"Fully Paid"
AZ;01-02-2016;"Fully Paid"
TX;01-03-2008;"Fully Paid"
NJ;01-03-2008;"Fully Paid"
HI;01-03-2008;"Fully Paid"
GA;01-03-2008;"Fully Paid"
AZ;01-03-2009;"Fully Paid"
VA;01-03-2009;"Fully Paid"
NY;01-03-2009;"Fully Paid"
CO;01-03-2009;"Fully Paid"
LA;01-03-2009;"Fully Paid"
PA;01-03-2009;"Fully Paid"
MI;01-03-2009;"Fully Paid"
MA;01-03-2010;"Fully Paid"
VA;01-03-2010;"Fully Paid"
VA;01-03-2010;"Charged Off"
AL;01-03-2010;"Charged Off"
PA;01-03-2010;"Charged Off"
NY;01-03-2010;"Fully Paid"
CA;01-03-2010;"Charged Off"
NY;01-03-2010;"Charged Off"
IA;01-03-2010;"Fully Paid"
MD;01-03-2010;"Fully Paid"
OR;01-03-2010;"Fully Paid"
KS;01-03-2010;"Fully Paid"
OH;01-03-2010;"Fully Paid"
TX;01-03-2010;"Fully Paid"
NM;01-03-2010;"Fully Paid"
GA;01-03-2011;"Fully Paid"
KY;01-03-2011;"Fully Paid"
OR;01-03-2011;"Fully Paid"
MN;01-03-2011;"Fully Paid"
UT;01-03-2011;"Fully Paid"
MD;01-03-2011;"Fully Paid"
NJ;01-03-2011;"Fully Paid"
MT;01-03-2011;"Fully Paid"
TN;01-03-2011;"Fully Paid"
DC;01-03-2011;"Fully Paid"
KS;01-03-2011;"Fully Paid"
LA;01-03-2011;"Fully Paid"
IL;01-03-2011;"Fully Paid"
AZ;01-03-2011;"Fully Paid"
FL;01-03-2011;"Fully Paid"
NC;01-03-2011;"Fully Paid"
MS;01-03-2011;"Fully Paid"
CA;01-03-2011;"Charged Off"
CT;01-03-2011;"Fully Paid"
MI;01-03-2011;"Fully Paid"
NY;01-03-2011;"Fully Paid"
VA;01-03-2011;"Fully Paid"
MO;01-03-2011;"Fully Paid"
TX;01-03-2011;"Fully Paid"
CO;01-03-2011;"Fully Paid"
ID;01-03-2011;"Fully Paid"
CA;01-03-2011;"Fully Paid"
VA;01-03-2012;"Fully Paid"
CT;01-03-2012;"Fully Paid"
HI;01-03-2012;"Fully Paid"
TX;01-03-2012;"Fully Paid"
NY;01-03-2012;"Fully Paid"
MA;01-03-2012;"Fully Paid"
NV;01-03-2012;"Fully Paid"
AZ;01-03-2012;"Fully Paid"
KY;01-03-2012;"Fully Paid"
IL;01-03-2012;"Fully Paid"
CA;01-03-2012;"Fully Paid"
MD;01-03-2013;"Charged Off"
MA;01-03-2013;"Fully Paid"
AZ;01-03-2013;"Fully Paid"
NY;01-03-2013;"Fully Paid"
WA;01-03-2013;"Fully Paid"
CA;01-03-2014;"Fully Paid"
CT;01-03-2014;"Fully Paid"
SC;01-03-2014;"Fully Paid"
OR;01-03-2014;"Fully Paid"
NJ;01-03-2014;"Fully Paid"
WA;01-03-2014;"Fully Paid"
CA;01-03-2015;"Fully Paid"
CO;01-03-2015;"Fully Paid"
NJ;01-03-2015;"Fully Paid"
AZ;01-03-2015;"Fully Paid"
MD;01-03-2015;"Charged Off"
MA;01-03-2015;"Fully Paid"
TX;01-03-2015;"Fully Paid"
DC;01-03-2015;"Fully Paid"
PA;01-03-2015;"Fully Paid"
NJ;01-03-2015;"Charged Off"
MA;01-03-2016;"Fully Paid"
NY;01-03-2016;"Fully Paid"
MN;01-03-2016;"Fully Paid"
KS;01-03-2016;"Fully Paid"
MI;01-03-2016;"Fully Paid"
PA;01-03-2016;"Fully Paid"
VA;01-03-2016;"Fully Paid"
MS;01-03-2016;"Fully Paid"
NV;01-03-2016;"Fully Paid"
IL;01-03-2016;"Fully Paid"
CA;01-03-2016;"Fully Paid"
TN;01-03-2016;"Fully Paid"
MO;01-03-2016;"Fully Paid"
FL;01-03-2016;"Fully Paid"
ID;01-03-2016;"Fully Paid"
AZ;01-03-2016;"Fully Paid"
OH;01-03-2016;"Fully Paid"
AL;01-03-2016;"Fully Paid"
HI;01-04-2009;"Fully Paid"
NJ;01-04-2009;"Fully Paid"
NY;01-04-2009;"Fully Paid"
AZ;01-04-2009;"Fully Paid"
MN;01-04-2009;"Fully Paid"
TX;01-04-2009;"Fully Paid"
KY;01-04-2009;"Fully Paid"
PA;01-04-2009;"Fully Paid"
MA;01-04-2009;"Fully Paid"
VA;01-04-2010;"Fully Paid"
PA;01-04-2010;"Fully Paid"
GA;01-04-2010;"Fully Paid"
MN;01-04-2010;"Fully Paid"
CA;01-04-2010;"Charged Off"
FL;01-04-2010;"Charged Off"
ID;01-04-2010;"Fully Paid"
TN;01-04-2010;"Fully Paid"
NY;01-04-2010;"Charged Off"
MD;01-04-2010;"Fully Paid"
MA;01-04-2010;"Fully Paid"
NJ;01-04-2010;"Fully Paid"
CA;01-04-2010;"Fully Paid"
VA;01-04-2010;"Charged Off"
NY;01-04-2010;"Fully Paid"
TX;01-04-2011;"Fully Paid"
OH;01-04-2011;"Fully Paid"
RI;01-04-2011;"Fully Paid"
MN;01-04-2011;"Fully Paid"
IL;01-04-2011;"Fully Paid"
NY;01-04-2011;"Fully Paid"
KS;01-04-2011;"Fully Paid"
NJ;01-04-2011;"Fully Paid"
NV;01-04-2011;"Fully Paid"
CO;01-04-2011;"Charged Off"
CA;01-04-2011;"Fully Paid"
NC;01-04-2011;"Fully Paid"
AZ;01-04-2011;"Fully Paid"
NH;01-04-2011;"Fully Paid"
PA;01-04-2011;"Fully Paid"
OR;01-04-2011;"Fully Paid"
FL;01-04-2011;"Fully Paid"
MD;01-04-2011;"Fully Paid"
GA;01-04-2011;"Fully Paid"
NY;01-04-2012;"Fully Paid"
AL;01-04-2012;"Fully Paid"
CA;01-04-2012;"Fully Paid"
IL;01-04-2012;"Fully Paid"
VT;01-04-2012;"Fully Paid"
CA;01-04-2012;"Charged Off"
OH;01-04-2012;"Fully Paid"
NY;01-04-2013;"Fully Paid"
DE;01-04-2013;"Fully Paid"
MO;01-04-2014;"Fully Paid"
CA;01-04-2014;"Fully Paid"
VA;01-04-2014;"Fully Paid"
TX;01-04-2014;"Fully Paid"
DE;01-04-2014;"Fully Paid"
GA;01-04-2015;"Fully Paid"
CA;01-04-2015;"Fully Paid"
WA;01-04-2015;"Fully Paid"
NJ;01-04-2015;"Fully Paid"
MD;01-04-2015;"Fully Paid"
MI;01-04-2015;"Fully Paid"
MA;01-04-2015;"Fully Paid"
TX;01-04-2015;"Fully Paid"
OR;01-04-2015;"Fully Paid"
FL;01-04-2015;"Fully Paid"
CA;01-04-2016;"Charged Off"
SC;01-04-2016;"Charged Off"
CO;01-04-2016;"Fully Paid"
NJ;01-04-2016;"Fully Paid"
RI;01-04-2016;"Fully Paid"
WI;01-04-2016;"Fully Paid"
NH;01-04-2016;"Fully Paid"
CT;01-04-2016;"Charged Off"
VA;01-04-2016;"Charged Off"
FL;01-04-2016;"Fully Paid"
VA;01-04-2016;"Fully Paid"
MA;01-04-2016;"Charged Off"
NY;01-04-2016;"Charged Off"
PA;01-04-2016;"Fully Paid"
CA;01-04-2016;"Fully Paid"
LA;01-04-2016;"Fully Paid"
SC;01-04-2016;"Fully Paid"
TX;01-04-2016;"Fully Paid"
CO;01-04-2016;"Charged Off"
MD;01-04-2016;"Fully Paid"
CT;01-04-2016;"Fully Paid"
NY;01-04-2016;"Fully Paid"
OR;01-04-2016;"Fully Paid"
FL;01-04-2016;"Charged Off"
VT;01-04-2016;"Fully Paid"
OH;01-04-2016;"Fully Paid"
WA;01-04-2016;"Fully Paid"
GA;01-04-2016;"Fully Paid"
MI;01-04-2016;"Fully Paid"
NJ;01-04-2016;"Charged Off"
WA;01-04-2016;"Charged Off"
AZ;01-04-2016;"Fully Paid"
MA;01-04-2016;"Fully Paid"
NY;01-05-2007;"Fully Paid"
GA;01-05-2008;"Fully Paid"
SC;01-05-2009;"Fully Paid"
MD;01-05-2009;"Fully Paid"
OH;01-05-2009;"Fully Paid"
DC;01-05-2009;"Fully Paid"
NC;01-05-2009;"Fully Paid"
MO;01-05-2009;"Fully Paid"
CA;01-05-2010;"Fully Paid"
PA;01-05-2010;"Fully Paid"
FL;01-05-2010;"Charged Off"
TX;01-05-2010;"Fully Paid"
MD;01-05-2010;"Fully Paid"
MI;01-05-2010;"Fully Paid"
WA;01-05-2010;"Charged Off"
CA;01-05-2010;"Charged Off"
MN;01-05-2010;"Fully Paid"
OH;01-05-2010;"Fully Paid"
NC;01-05-2010;"Fully Paid"
OK;01-05-2010;"Fully Paid"
IA;01-05-2010;"Fully Paid"
NY;01-05-2010;"Fully Paid"
TX;01-05-2010;"Charged Off"
MO;01-05-2010;"Fully Paid"
NY;01-05-2010;"Charged Off"
OH;01-05-2011;"Fully Paid"
LA;01-05-2011;"Fully Paid"
IL;01-05-2011;"Fully Paid"
SC;01-05-2011;"Fully Paid"
ME;01-05-2011;"Fully Paid"
CO;01-05-2011;"Charged Off"
MA;01-05-2011;"Fully Paid"
MO;01-05-2011;"Fully Paid"
OR;01-05-2011;"Fully Paid"
MI;01-05-2011;"Fully Paid"
NY;01-05-2011;"Fully Paid"
AL;01-05-2011;"Fully Paid"
NY;01-05-2011;"Charged Off"
CA;01-05-2011;"Fully Paid"
TX;01-05-2011;"Fully Paid"
MS;01-05-2011;"Fully Paid"
AZ;01-05-2011;"Fully Paid"
IL;01-05-2012;"Fully Paid"
AZ;01-05-2012;"Fully Paid"
UT;01-05-2012;"Fully Paid"
FL;01-05-2013;"Fully Paid"
NY;01-05-2013;"Fully Paid"
AK;01-05-2014;"Fully Paid"
NC;01-05-2014;"Fully Paid"
MA;01-05-2014;"Fully Paid"
NY;01-05-2014;"Fully Paid"
NJ;01-05-2014;"Fully Paid"
VA;01-05-2014;"Fully Paid"
GA;01-05-2015;"Fully Paid"
CA;01-05-2015;"Fully Paid"
TX;01-05-2015;"Fully Paid"
WV;01-05-2016;"Fully Paid"
DE;01-05-2016;"Charged Off"
KS;01-05-2016;"Fully Paid"
DC;01-05-2016;"Charged Off"
MT;01-05-2016;"Fully Paid"
CT;01-05-2016;"Fully Paid"
KS;01-05-2016;"Charged Off"
MI;01-05-2016;"Charged Off"
NJ;01-05-2016;"Fully Paid"
WA;01-05-2016;"Fully Paid"
KY;01-05-2016;"Fully Paid"
AZ;01-05-2016;"Fully Paid"
IL;01-05-2016;"Fully Paid"
FL;01-05-2016;"Fully Paid"
AL;01-05-2016;"Fully Paid"
FL;01-05-2016;"Charged Off"
GA;01-05-2016;"Charged Off"
NE;01-05-2016;"Charged Off"
NC;01-05-2016;"Charged Off"
ID;01-05-2016;"Charged Off"
VA;01-05-2016;"Fully Paid"
NC;01-05-2016;"Fully Paid"
HI;01-05-2016;"Charged Off"
PA;01-05-2016;"Fully Paid"
MN;01-05-2016;"Charged Off"
AR;01-05-2016;"Fully Paid"
AZ;01-05-2016;"Charged Off"
TN;01-05-2016;"Charged Off"
OH;01-05-2016;"Charged Off"
MD;01-05-2016;"Fully Paid"
CO;01-05-2016;"Fully Paid"
TN;01-05-2016;"Fully Paid"
MN;01-05-2016;"Fully Paid"
WA;01-05-2016;"Charged Off"
MO;01-05-2016;"Fully Paid"
NJ;01-05-2016;"Charged Off"
TX;01-05-2016;"Charged Off"
CT;01-05-2016;"Charged Off"
MI;01-05-2016;"Fully Paid"
OR;01-05-2016;"Fully Paid"
RI;01-05-2016;"Fully Paid"
CA;01-05-2016;"Fully Paid"
OH;01-05-2016;"Fully Paid"
CO;01-05-2016;"Charged Off"
MS;01-05-2016;"Charged Off"
AL;01-05-2016;"Charged Off"
NV;01-05-2016;"Charged Off"
CA;01-05-2016;"Charged Off"
PA;01-05-2016;"Charged Off"
LA;01-05-2016;"Fully Paid"
TX;01-05-2016;"Fully Paid"
VA;01-05-2016;"Charged Off"
OR;01-05-2016;"Charged Off"
LA;01-05-2016;"Charged Off"
MA;01-05-2016;"Fully Paid"
NY;01-05-2016;"Fully Paid"
OK;01-05-2016;"Charged Off"
MO;01-05-2016;"Charged Off"
IL;01-05-2016;"Charged Off"
UT;01-05-2016;"Fully Paid"
WI;01-05-2016;"Fully Paid"
MD;01-05-2016;"Charged Off"
GA;01-05-2016;"Fully Paid"
UT;01-05-2016;"Charged Off"
NY;01-05-2016;"Charged Off"
MD;01-06-2007;"Fully Paid"
MA;01-06-2007;"Fully Paid"
WI;01-06-2007;"Fully Paid"
GA;01-06-2007;"Fully Paid"
IN;01-06-2007;"Fully Paid"
PA;01-06-2008;"Fully Paid"
AZ;01-06-2009;"Fully Paid"
TX;01-06-2009;"Fully Paid"
CA;01-06-2009;"Fully Paid"
WA;01-06-2009;"Fully Paid"
FL;01-06-2009;"Charged Off"
MD;01-06-2009;"Fully Paid"
OR;01-06-2010;"Fully Paid"
NY;01-06-2010;"Fully Paid"
CO;01-06-2010;"Fully Paid"
FL;01-06-2010;"Fully Paid"
VA;01-06-2010;"Fully Paid"
AZ;01-06-2010;"Fully Paid"
MA;01-06-2010;"Fully Paid"
NJ;01-06-2010;"Fully Paid"
NH;01-06-2010;"Fully Paid"
NM;01-06-2010;"Fully Paid"
IN;01-06-2010;"Fully Paid"
IL;01-06-2010;"Fully Paid"
PA;01-06-2010;"Fully Paid"
CA;01-06-2011;"Fully Paid"
NJ;01-06-2011;"Fully Paid"
NV;01-06-2011;"Fully Paid"
GA;01-06-2011;"Fully Paid"
MA;01-06-2011;"Fully Paid"
OH;01-06-2011;"Fully Paid"
OR;01-06-2011;"Fully Paid"
PA;01-06-2011;"Fully Paid"
AZ;01-06-2011;"Fully Paid"
WA;01-06-2011;"Fully Paid"
NC;01-06-2011;"Fully Paid"
NY;01-06-2011;"Fully Paid"
MI;01-06-2011;"Fully Paid"
KS;01-06-2011;"Fully Paid"
IL;01-06-2011;"Fully Paid"
TX;01-06-2011;"Fully Paid"
AZ;01-06-2012;"Fully Paid"
FL;01-06-2012;"Fully Paid"
CO;01-06-2012;"Fully Paid"
VA;01-06-2012;"Fully Paid"
TX;01-06-2012;"Fully Paid"
MT;01-06-2012;"Fully Paid"
TX;01-06-2013;"Fully Paid"
VA;01-06-2013;"Fully Paid"
NM;01-06-2013;"Fully Paid"
CA;01-06-2013;"Fully Paid"
MI;01-06-2014;"Fully Paid"
CA;01-06-2014;"Fully Paid"
AL;01-06-2014;"Fully Paid"
NJ;01-06-2014;"Fully Paid"
TX;01-06-2014;"Fully Paid"
VA;01-06-2014;"Fully Paid"
GA;01-06-2015;"Fully Paid"
HI;01-06-2015;"Fully Paid"
CO;01-06-2015;"Fully Paid"
CA;01-06-2015;"Fully Paid"
RI;01-06-2015;"Fully Paid"
NM;01-06-2015;"Fully Paid"
SC;01-06-2015;"Fully Paid"
FL;01-07-2007;"Fully Paid"
FL;01-07-2008;"Fully Paid"
VA;01-07-2009;"Fully Paid"
MO;01-07-2009;"Fully Paid"
NY;01-07-2009;"Fully Paid"
MN;01-07-2009;"Fully Paid"
CA;01-07-2009;"Fully Paid"
NC;01-07-2010;"Fully Paid"
DE;01-07-2010;"Fully Paid"
CO;01-07-2010;"Fully Paid"
TX;01-07-2010;"Charged Off"
CA;01-07-2010;"Fully Paid"
FL;01-07-2010;"Charged Off"
CT;01-07-2010;"Charged Off"
NJ;01-07-2010;"Fully Paid"
IL;01-07-2010;"Fully Paid"
CA;01-07-2010;"Charged Off"
WI;01-07-2010;"Fully Paid"
FL;01-07-2010;"Fully Paid"
ME;01-07-2010;"Fully Paid"
NY;01-07-2010;"Fully Paid"
AZ;01-07-2010;"Fully Paid"
NY;01-07-2010;"Charged Off"
VA;01-07-2010;"Fully Paid"
GA;01-07-2010;"Charged Off"
IN;01-07-2010;"Fully Paid"
AL;01-07-2010;"Fully Paid"
MA;01-07-2010;"Fully Paid"
NJ;01-07-2011;"Fully Paid"
AZ;01-07-2011;"Fully Paid"
UT;01-07-2011;"Fully Paid"
IL;01-07-2011;"Fully Paid"
MA;01-07-2011;"Fully Paid"
RI;01-07-2011;"Fully Paid"
GA;01-07-2011;"Fully Paid"
SC;01-07-2011;"Fully Paid"
MD;01-07-2011;"Fully Paid"
NY;01-07-2011;"Fully Paid"
FL;01-07-2011;"Fully Paid"
CO;01-07-2011;"Fully Paid"
PA;01-07-2011;"Fully Paid"
NJ;01-07-2012;"Fully Paid"
FL;01-07-2012;"Fully Paid"
CA;01-07-2012;"Fully Paid"
PA;01-07-2013;"Fully Paid"
MA;01-07-2013;"Fully Paid"
KS;01-07-2013;"Fully Paid"
MO;01-07-2013;"Fully Paid"
TX;01-07-2014;"Fully Paid"
PA;01-07-2014;"Fully Paid"
NY;01-07-2014;"Fully Paid"
AZ;01-07-2014;"Fully Paid"
CA;01-07-2014;"Fully Paid"
WA;01-07-2014;"Fully Paid"
CA;01-07-2015;"Fully Paid"
FL;01-07-2015;"Fully Paid"
KS;01-07-2015;"Fully Paid"
NY;01-07-2015;"Charged Off"
AZ;01-07-2015;"Fully Paid"
NC;01-07-2015;"Fully Paid"
NJ;01-07-2015;"Fully Paid"
WA;01-07-2015;"Fully Paid"
WY;01-07-2015;"Fully Paid"
NY;01-07-2015;"Fully Paid"
WI;01-08-2007;"Fully Paid"
WA;01-08-2007;"Fully Paid"
MA;01-08-2007;"Fully Paid"
CA;01-08-2007;"Fully Paid"
NY;01-08-2007;"Fully Paid"
MD;01-08-2008;"Fully Paid"
FL;01-08-2008;"Fully Paid"
OR;01-08-2008;"Fully Paid"
VA;01-08-2008;"Fully Paid"
AZ;01-08-2008;"Fully Paid"
OH;01-08-2008;"Fully Paid"
NC;01-08-2008;"Fully Paid"
CT;01-08-2008;"Fully Paid"
TX;01-08-2009;"Charged Off"
WA;01-08-2009;"Fully Paid"
AL;01-08-2009;"Fully Paid"
TN;01-08-2009;"Fully Paid"
VT;01-08-2009;"Fully Paid"
CA;01-08-2009;"Fully Paid"
CA;01-08-2009;"Charged Off"
VA;01-08-2009;"Fully Paid"
SD;01-08-2009;"Fully Paid"
TX;01-08-2009;"Fully Paid"
OH;01-08-2010;"Fully Paid"
IA;01-08-2010;"Fully Paid"
CT;01-08-2010;"Fully Paid"
FL;01-08-2010;"Fully Paid"
GA;01-08-2010;"Charged Off"
NJ;01-08-2010;"Fully Paid"
MD;01-08-2010;"Charged Off"
CO;01-08-2010;"Charged Off"
FL;01-08-2010;"Charged Off"
IL;01-08-2010;"Fully Paid"
MA;01-08-2010;"Fully Paid"
NY;01-08-2010;"Fully Paid"
NV;01-08-2010;"Fully Paid"
NH;01-08-2011;"Charged Off"
PA;01-08-2011;"Fully Paid"
NY;01-08-2011;"Fully Paid"
NJ;01-08-2011;"Fully Paid"
CA;01-08-2011;"Fully Paid"
RI;01-08-2011;"Fully Paid"
MD;01-08-2011;"Fully Paid"
FL;01-08-2011;"Fully Paid"
HI;01-08-2011;"Fully Paid"
NV;01-08-2011;"Fully Paid"
WI;01-08-2011;"Fully Paid"
IL;01-08-2011;"Fully Paid"
MA;01-08-2011;"Fully Paid"
CO;01-08-2011;"Charged Off"
VA;01-08-2011;"Fully Paid"
SD;01-08-2011;"Fully Paid"
GA;01-08-2011;"Fully Paid"
OH;01-08-2012;"Fully Paid"
GA;01-08-2012;"Fully Paid"
NY;01-08-2012;"Fully Paid"
CA;01-08-2012;"Fully Paid"
PA;01-08-2012;"Fully Paid"
CO;01-08-2013;"Fully Paid"
NY;01-08-2013;"Fully Paid"
PA;01-08-2014;"Fully Paid"
NJ;01-08-2014;"Fully Paid"
TX;01-08-2014;"Fully Paid"
NE;01-08-2014;"Fully Paid"
NM;01-08-2014;"Fully Paid"
CA;01-08-2014;"Fully Paid"
FL;01-08-2014;"Fully Paid"
IL;01-08-2015;"Fully Paid"
NC;01-08-2015;"Fully Paid"
TX;01-08-2015;"Fully Paid"
NY;01-08-2015;"Fully Paid"
GA;01-08-2015;"Fully Paid"
AZ;01-08-2015;"Fully Paid"
CO;01-08-2015;"Fully Paid"
RI;01-08-2015;"Fully Paid"
UT;01-08-2015;"Fully Paid"
IN;01-09-2007;"Fully Paid"
NC;01-09-2007;"Fully Paid"
TX;01-09-2008;"Fully Paid"
VA;01-09-2008;"Fully Paid"
MA;01-09-2008;"Fully Paid"
MI;01-09-2008;"Fully Paid"
AZ;01-09-2009;"Charged Off"
PA;01-09-2009;"Fully Paid"
CT;01-09-2009;"Fully Paid"
CA;01-09-2009;"Fully Paid"
NC;01-09-2010;"Fully Paid"
NY;01-09-2010;"Fully Paid"
CO;01-09-2010;"Fully Paid"
CO;01-09-2010;"Charged Off"
PA;01-09-2010;"Fully Paid"
VA;01-09-2010;"Fully Paid"
TX;01-09-2010;"Charged Off"
WI;01-09-2010;"Fully Paid"
CA;01-09-2010;"Fully Paid"
WA;01-09-2010;"Fully Paid"
MD;01-09-2010;"Fully Paid"
GA;01-09-2010;"Fully Paid"
MA;01-09-2010;"Fully Paid"
ME;01-09-2010;"Fully Paid"
MO;01-09-2010;"Fully Paid"
FL;01-09-2010;"Fully Paid"
TX;01-09-2010;"Fully Paid"
SC;01-09-2010;"Fully Paid"
IL;01-09-2010;"Fully Paid"
OR;01-09-2011;"Fully Paid"
MA;01-09-2011;"Fully Paid"
SC;01-09-2011;"Fully Paid"
FL;01-09-2011;"Fully Paid"
TX;01-09-2011;"Fully Paid"
TN;01-09-2011;"Fully Paid"
OK;01-09-2011;"Fully Paid"
GA;01-09-2011;"Fully Paid"
